Input,Input Type,MGI Gene/Marker ID,Symbol,Name,Feature Type
TFAP2A,current symbol,MGI:104671,Tfap2a,"transcription factor AP-2, alpha",protein coding gene
TFAP2B,current symbol,MGI:104672,Tfap2b,transcription factor AP-2 beta,protein coding gene
TFAP2C,current symbol,MGI:106032,Tfap2c,"transcription factor AP-2, gamma",protein coding gene
TFAP2D,current symbol,MGI:2153466,Tfap2d,"transcription factor AP-2, delta",protein coding gene
TFAP2E,current symbol,MGI:2679630,Tfap2e,"transcription factor AP-2, epsilon",protein coding gene
ARID3A,current symbol,MGI:1328360,Arid3a,AT-rich interaction domain 3A,protein coding gene
ARID3B,current symbol,MGI:1930768,Arid3b,AT-rich interaction domain 3B,protein coding gene
ARID3C,zebrafish symbol,MGI:1328360,Arid3a,AT-rich interaction domain 3A,protein coding gene
ARID3C,current symbol,MGI:3650624,Arid3c,AT-rich interaction domain 3C,protein coding gene
ARID5A,current symbol,MGI:2443039,Arid5a,AT-rich interaction domain 5A,protein coding gene
ARID5B,current symbol,MGI:2175912,Arid5b,AT-rich interaction domain 5B,protein coding gene
KDM5B,current symbol,MGI:1922855,Kdm5b,lysine demethylase 5B,protein coding gene
ARID2,current symbol,MGI:1924294,Arid2,AT-rich interaction domain 2,protein coding gene
AHCTF1,current symbol,MGI:1915033,Ahctf1,AT hook containing transcription factor 1,protein coding gene
AHDC1,current symbol,MGI:2444218,Ahdc1,"AT hook, DNA binding motif, containing 1",protein coding gene
AKNA,current symbol,MGI:2140340,Akna,AT-hook transcription factor,protein coding gene
ASH1L,current symbol,MGI:2183158,Ash1l,ASH1 like histone lysine methyltransferase,protein coding gene
CBX2,current symbol,MGI:88289,Cbx2,chromobox 2,protein coding gene
DNTTIP1,current symbol,MGI:1923483,Dnttip1,"deoxynucleotidyltransferase, terminal, interacting protein 1",protein coding gene
DOT1L,current symbol,MGI:2143886,Dot1l,DOT1 like histone lysine methyltransferase,protein coding gene
GLYR1,current symbol,MGI:1921272,Glyr1,glyoxylate reductase 1 homolog (Arabidopsis),protein coding gene
HMGA1,current symbol,MGI:96160,Hmga1,high mobility group AT-hook 1,protein coding gene
HMGA1,human symbol,MGI:96161,Hmga1b,high mobility group AT-hook 1B,protein coding gene
HMGA2,current symbol,MGI:101761,Hmga2,high mobility group AT-hook 2,protein coding gene
PHF20,current symbol,MGI:2444148,Phf20,PHD finger protein 20,protein coding gene
PHF21A,current symbol,MGI:2384756,Phf21a,PHD finger protein 21A,protein coding gene
PRR12,current symbol,MGI:2679002,Prr12,proline rich 12,protein coding gene
SCML4,current symbol,MGI:2446140,Scml4,Scm polycomb group protein like 4,protein coding gene
SETBP1,current symbol,MGI:1933199,Setbp1,SET binding protein 1,protein coding gene
SRCAP,current symbol,MGI:2444036,Srcap,Snf2-related CREBBP activator protein,protein coding gene
